volume,file,url,center_lon_w,hemisphere,geo_unit,terrain,group,n_bands,wave_min_um,wave_max_um,coverage_0p7_2p0,coverage_0p7_5p2,incidence_angle,emission_angle,phase_angle,label_error
go_1117,19e001ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/19e001ti.qub,17.67,leading,pr,plains,leading_plains,15,0.6889,4.9033,True,False,84.6,52.43,136.95,
go_1117,19e001tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/19e001tr.qub,17.67,leading,pr,plains,leading_plains,15,0.6889,4.9033,True,False,84.6,52.43,136.95,
go_1117,19e002ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/19e002ti.qub,51.43,leading,chm,chaos,leading_chaos,15,0.6889,4.9033,True,False,86.11,26.28,100.58,
go_1117,19e002tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/19e002tr.qub,51.43,leading,chm,chaos,leading_chaos,15,0.6889,4.9033,True,False,86.11,26.28,100.58,
go_1118,20e001ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/20e001ci.qub,59.335,leading,chh,chaos,leading_chaos,360,0.6869,5.2679,True,True,33.55,28.66,58.7,
go_1118,20e001cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/20e001cr.qub,59.335,leading,chh,chaos,leading_chaos,360,0.6869,5.2679,True,True,33.55,28.66,58.7,
go_1118,20e001ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/20e001ti.qub,59.335,leading,chh,chaos,leading_chaos,360,0.6869,5.2679,True,True,66.37,10.84,58.67,
go_1118,20e001tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/20e001tr.qub,59.335,leading,chh,chaos,leading_chaos,360,0.6869,5.2679,True,True,66.37,10.84,58.67,
go_1118,25e001ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e001ci.qub,19.975,leading,pr,plains,leading_plains,15,0.587,4.6967,True,False,2.77,40.55,42.11,
go_1118,25e001cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e001cr.qub,19.975,leading,pr,plains,leading_plains,15,0.587,4.6967,True,False,2.77,40.55,42.11,
go_1118,25e001ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e001ti.qub,19.975,leading,pr,plains,leading_plains,15,0.587,4.6967,True,False,2.74,41.38,42.11,
