volume,file,url,center_lon_w,hemisphere,geo_unit,terrain,group,n_bands,wave_min_um,wave_max_um,coverage_0p7_2p0,coverage_0p7_5p2,incidence_angle,emission_angle,phase_angle,label_error,abs_lon_to_apex_or_anti,n_valid_pixels,missing_frac,ood_dist_0p7_2p0,ood_ratio_0p7_2p0,screen_pass,screen_error,screen_set,obs_id,product
go_1117,19e001ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/19e001ci.qub,17.655,leading,pr,plains,leading_plains,15.0,0.6889,4.9033,1.0,0.0,84.87,56.96,140.94,,72.345,1454,0.7491373360938578,3.725327930148409,66.9255314218719,False,,leading_plains_all_coverage,190.0,ci
go_1117,19e001cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/19e001cr.qub,17.655,leading,pr,plains,leading_plains,15.0,0.6889,4.9033,1.0,0.0,84.87,56.96,140.94,,72.345,1454,0.7491373360938578,2.4822684134903863,44.59396214763644,False,,leading_plains_all_coverage,190.0,cr
go_1118,25e006ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e006ci.qub,17.205,leading,pr,plains,leading_plains,15.0,0.587,4.6967,1.0,0.0,49.66,21.5,36.22,,72.795,1078,0.0626086956521738,0.4143586751733419,7.4439552853361715,True,,leading_plains_all_coverage,25000000.0,ci
go_1118,25e006cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e006cr.qub,17.205,leading,pr,plains,leading_plains,15.0,0.587,4.6967,1.0,0.0,49.66,21.5,36.22,,72.795,1078,0.0626086956521738,1.3070119539915366,23.48047507112697,True,,leading_plains_all_coverage,25000000.0,cr
go_1118,25e006ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e006ti.qub,17.205,leading,pr,plains,leading_plains,15.0,0.587,4.6967,1.0,0.0,49.3,21.46,36.23,,72.795,5198,0.0003846153846154,1.96274940750679,35.260801091441934,False,,leading_plains_all_coverage,25000000.0,ti
go_1118,25e006tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e006tr.qub,17.205,leading,pr,plains,leading_plains,15.0,0.587,4.6967,1.0,0.0,49.3,21.46,36.23,,72.795,5198,0.0003846153846154,2.5635334016703344,46.05388799092147,False,,leading_plains_all_coverage,25000000.0,tr
,e6.qub,,,,,,leading_chaos,,,,,,,,,,,111,,,11.88079035891997,True,,existing_four_nims,e6,
,e15.qub,,,,,,leading_plains,,,,,,,,,,,865,,,34.7543435561408,False,,existing_four_nims,e15,
,g2.qub,,,,,,trailing_chaos,,,,,,,,,,,53,,,5.837095020284642,True,,existing_four_nims,g2,
,e11.qub,,,,,,trailing_plains,,,,,,,,,,,3431,,,11.344764016550512,True,,existing_four_nims,e11,
