setting,model,n_train,n_test,positive_rate_test,pr_auc,roc_auc,precision_at_10pct,recall_at_top10pct,brier,fpr_radiation_mimic_top10pct,fpr_exogenic_complex_organic_top10pct,top10_positive_count,top10_radiation_mimic_count,top10_exogenic_count,top10_noise_count,top10_ocean_nonorganic_count,seed,noise_condition,smoothing_window
spectral_radiation,logreg,5600,2400,0.17708333333333334,0.8821368373306374,0.9647654504839912,0.9458333333333333,0.5341176470588235,0.07465985712167943,0.0,0.0,227,0,0,2,11,3430,moderate,5
full,logreg,5600,2400,0.17708333333333334,0.9185546500576045,0.9769125837676844,0.975,0.5505882352941176,0.06063486459416855,0.0,0.0,234,0,0,1,5,3430,moderate,5
context_only,logreg,5600,2400,0.17708333333333334,0.44299517019167306,0.8642752047654505,0.44166666666666665,0.24941176470588236,0.15021617903383133,0.0,0.0,106,0,0,0,134,3430,moderate,5
spectral_only,logreg,5600,2400,0.18291666666666667,0.90473840008509,0.9699098247256582,0.9791666666666666,0.5353075170842825,0.06801836645769908,0.0,0.0,235,0,0,1,4,3431,moderate,5
spectral_geology,logreg,5600,2400,0.18291666666666667,0.9393176685196505,0.9821043375433713,0.9916666666666667,0.5421412300683371,0.05225586350090417,0.0,0.0,238,0,0,0,2,3431,moderate,5
spectral_radiation,logreg,5600,2400,0.18291666666666667,0.9081677979488613,0.9711852652927995,0.9791666666666666,0.5353075170842825,0.06579469174207331,0.0,0.0,235,0,0,1,4,3431,moderate,5
full,logreg,5600,2400,0.18291666666666667,0.9403333356932153,0.98262473588042,0.9916666666666667,0.5421412300683371,0.05112940831344656,0.0,0.0,238,0,0,0,2,3431,moderate,5
context_only,logreg,5600,2400,0.18291666666666667,0.5198961672821529,0.8811331209147859,0.5291666666666667,0.28929384965831434,0.13920089533596985,0.0,0.0,127,0,0,0,113,3431,moderate,5
spectral_only,logreg,5600,2400,0.18375,0.899792339461816,0.9713781037342623,0.9583333333333334,0.5215419501133787,0.06851921195996362,0.0,0.0,230,0,0,4,6,3432,moderate,5
spectral_geology,logreg,5600,2400,0.18375,0.9276261368078319,0.9784215881349988,0.9833333333333333,0.5351473922902494,0.05513661276840565,0.0,0.0,236,0,0,1,3,3432,moderate,5
spectral_radiation,logreg,5600,2400,0.18375,0.9019953943058093,0.9722844387031655,0.9666666666666667,0.5260770975056689,0.06721279000039417,0.0,0.0,232,0,0,4,4,3432,moderate,5
full,logreg,5600,2400,0.18375,0.9284401314784727,0.9788163010652619,0.9833333333333333,0.5351473922902494,0.05459781830462181,0.0,0.0,236,0,0,1,3,3432,moderate,5
context_only,logreg,5600,2400,0.18375,0.468652947781982,0.8728052051176095,0.4875,0.2653061224489796,0.14206059949948846,0.0,0.0,117,0,0,0,123,3432,moderate,5
spectral_only,logreg,5600,2400,0.17416666666666666,0.9058044849295712,0.9710154548834244,0.9583333333333334,0.5502392344497608,0.06567474930241544,0.0,0.0,230,0,0,1,9,3433,moderate,5
spectral_geology,logreg,5600,2400,0.17416666666666666,0.9344034101838534,0.9818534272567944,0.9916666666666667,0.569377990430622,0.05227105079789923,0.0014903129657228018,0.0,238,1,0,0,1,3433,moderate,5
spectral_radiation,logreg,5600,2400,0.17416666666666666,0.9127358208916723,0.9738954417508775,0.9708333333333333,0.5574162679425837,0.06270494196843283,0.0014903129657228018,0.0,233,1,0,0,6,3433,moderate,5
