setting,model,n_train,n_test,positive_rate_test,pr_auc,roc_auc,precision_at_10pct,recall_at_top10pct,brier,fpr_radiation_mimic_top10pct,fpr_exogenic_complex_organic_top10pct,top10_positive_count,top10_radiation_mimic_count,top10_exogenic_count,top10_noise_count,top10_ocean_nonorganic_count,seed,noise_condition,smoothing_window
spectral_only,logreg,5600,2400,0.17416666666666666,0.9578174072163821,0.9868843515080703,1.0,0.5741626794258373,0.03912285366475798,0.0,0.0,240,0,0,0,0,3433,moderate,5
spectral_geology,logreg,5600,2400,0.17416666666666666,0.9818519726508231,0.995241865787301,0.9958333333333333,0.5717703349282297,0.02345385926793591,0.0014903129657228018,0.0,239,1,0,0,0,3433,moderate,5
spectral_radiation,logreg,5600,2400,0.17416666666666666,0.9640954142977639,0.9892477271520237,1.0,0.5741626794258373,0.03579558328261079,0.0,0.0,240,0,0,0,0,3433,moderate,5
full,logreg,5600,2400,0.17416666666666666,0.9838961175406586,0.9958031373268508,0.9958333333333333,0.5717703349282297,0.02097134260613768,0.0014903129657228018,0.0,239,1,0,0,0,3433,moderate,5
context_only,logreg,5600,2400,0.17416666666666666,0.43339763787323105,0.8596145211207084,0.4583333333333333,0.2631578947368421,0.1548896490437934,0.0,0.0,110,0,0,0,130,3433,moderate,5
spectral_only,logreg,5600,2400,0.17666666666666667,0.9601208694282053,0.9885751661446796,0.9958333333333333,0.5636792452830188,0.041107538778647125,0.0,0.0,239,0,0,0,1,3434,moderate,5
spectral_geology,logreg,5600,2400,0.17666666666666667,0.9797627080731534,0.9939796425024826,1.0,0.5660377358490566,0.0254009287925805,0.0,0.0,240,0,0,0,0,3434,moderate,5
spectral_radiation,logreg,5600,2400,0.17666666666666667,0.9646098344027055,0.9899907379115422,0.9958333333333333,0.5636792452830188,0.03745775823774074,0.0,0.0,239,0,0,0,1,3434,moderate,5
full,logreg,5600,2400,0.17666666666666667,0.9810239815853631,0.9943973913375601,1.0,0.5660377358490566,0.024387969062832596,0.0,0.0,240,0,0,0,0,3434,moderate,5
context_only,logreg,5600,2400,0.17666666666666667,0.4475483799292784,0.8668228649453823,0.45,0.25471698113207547,0.1446402903869455,0.0,0.0,108,0,0,0,132,3434,moderate,5
