wavelength_um,value,kind,source_id,source_name,notes
1.1,0.266043,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.11,0.267282,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.12,0.267769,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.13,0.266776,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.14,0.264897,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.15,0.261044,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.16,0.256846,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.17,0.251167,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.18,0.244598,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.19,0.24148,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.2,0.241522,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.21,0.242956,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.22,0.243752,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.23,0.244049,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.24,0.244004,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.25,0.243367,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.26,0.242819,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.27,0.242078,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.28,0.24138,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.29,0.240597,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.3,0.240153,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.31,0.239412,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.32,0.238968,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.33,0.238227,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.34,0.235965,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.35,0.232704,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.36,0.231223,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.37,0.227481,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.38,0.222923,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.39,0.219518,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.4,0.211104,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.41,0.202245,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.42,0.193386,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.43,0.184527,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.44,0.175668,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
